webpage,click_target
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,1
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Services,1
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Services,0
Services,1
Interact,0
Services,0
Interact,0
Interact,0
Services,1
Services,0
Services,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Services,0
Interact,0
Services,1
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,1
Interact,0
Services,0
Interact,0
Services,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,1
Services,1
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,1
Services,0
Interact,0
Services,1
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Services,1
Interact,0
Services,0
Interact,0
Services,0
Services,0
Interact,0
Services,0
Services,0
Services,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,1
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,1
Interact,0
Interact,0
Interact,1
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Interact,1
Services,0
Services,0
Services,1
Services,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,1
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,1
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Services,0
Services,0
Interact,0
Services,0
Interact,0
Services,0
Services,0
Interact,0
Services,1
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,1
Interact,0
Interact,0
Interact,0
Services,1
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,1
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,1
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Interact,0
Services,0
Interact,0
Interact,0
Services,0
Interact,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Interact,0
Services,0
Services,0
Interact,0
Services,0
Services,0
Interact,0
Services,0
Services,0
