State	log_patent	log_emp_18
Alabama	2.485721426	3.754348336
Alaska	1.278753601	2.886490725
Arizona	3.236285277	3.804820679
Arkansas	2.544068044	3.382017043
California	4.632214262	4.517327882
Colorado	3.306210508	3.745074792
Connecticut	3.517855419	3.496929648
Delaware	3.256236533	2.579783597
Florida	3.462697408	4.355834496
Georgia	3.566319622	4.0523091
Hawaii	1.875061263	3.23299611
Idaho	3.040206628	3.190331698
Illinois	3.809155532	4.234770295
Indiana	3.312177356	3.870988814
Iowa	2.966610987	3.212187604
Kansas	2.904715545	3.57863921
Kentucky	2.733999287	3.627365857
Louisiana	2.419955748	3.793790385
Maine	1.819543936	3.303196057
Maryland	3.139249218	3.617000341
Massachusetts	3.895146189	4.06595298
Michigan	3.882752156	3.822168079
Minnesota	3.56431091	3.835056102
Mississippi	1.86332286	3.489958479
Missouri	3.147985321	3.812913357
Montana	1.707570176	2.880813592
Nebraska	2.42975228	3.056904851
Nevada	3.07371835	3.294466226
New Hampshire	2.771587481	3.328379603
New Jersey	3.650890078	3.747411808
New Mexico	2.604226053	3.380211242
New York	4.222404291	4.074816441
North Carolina	3.540704783	4.172310969
North Dakota	1.819543936	2.770852012
Ohio	3.586362223	4.283527365
Oklahoma	2.460897843	3.547774705
Oregon	3.262688344	3.532754379
Pennsylvania	3.541704023	3.667452953
Rhode Island	2.521138084	3.123851641
South Carolina	2.818885415	3.726727209
South Dakota	1.949390007	2.755874856
Tennessee	3.036628895	3.756636108
Texas	4.073204956	4.464042205
Utah	3.108226656	3.301029996
Vermont	2.012837225	
Virginia	3.262925469	4.006893708
Washington	3.801472314	3.889301703
West Virginia	1.707570176	2.919078092
Wisconsin	3.286680969	3.975431809
Wyoming	1.851258349	2.73239376
