iter	Passed	Remaining
0	16	16346
1	30	15196
2	44	14831
3	58	14559
4	70	14081
5	78	12955
6	85	12068
7	91	11368
8	98	10875
9	105	10468
10	112	10123
11	119	9848
12	126	9589
13	133	9382
14	140	9197
15	146	9033
16	153	8896
17	160	8779
18	167	8672
19	174	8564
20	182	8515
21	189	8421
22	196	8342
23	203	8274
24	210	8198
25	217	8143
26	224	8078
27	231	8019
28	237	7959
29	244	7903
30	251	7859
31	258	7816
32	265	7770
33	272	7755
34	280	7721
35	286	7682
36	294	7661
37	301	7623
38	307	7584
39	314	7547
40	321	7516
41	328	7485
42	334	7453
43	341	7426
44	348	7399
45	355	7374
46	362	7350
47	369	7326
48	376	7299
49	382	7271
50	389	7244
51	396	7221
52	402	7197
53	409	7175
54	417	7165
55	425	7165
56	431	7144
57	438	7123
58	445	7103
59	452	7083
60	458	7063
61	465	7048
62	472	7031
63	479	7014
64	487	7015
65	496	7021
66	511	7121
67	524	7190
68	541	7301
69	554	7365
70	567	7429
71	574	7408
72	582	7397
73	599	7497
74	614	7584
75	630	7662
76	646	7749
77	662	7829
78	674	7857
79	686	7896
80	699	7939
81	710	7954
82	723	7993
83	735	8020
84	747	8046
85	760	8079
86	771	8097
87	784	8134
88	797	8159
89	809	8181
90	820	8200
91	833	8227
92	846	8251
93	858	8277
94	871	8299
95	883	8318
96	896	8342
97	908	8362
98	920	8381
99	932	8390
100	944	8402
101	956	8418
102	969	8439
103	980	8451
104	997	8502
105	1013	8544
106	1027	8571
107	1039	8588
108	1051	8598
109	1063	8603
110	1076	8619
111	1087	8624
112	1100	8640
113	1113	8657
114	1126	8670
115	1139	8683
116	1150	8685
117	1162	8689
118	1174	8694
119	1185	8692
120	1197	8701
121	1210	8711
122	1221	8708
123	1233	8714
124	1246	8726
125	1259	8735
126	1271	8739
127	1284	8753
128	1297	8762
129	1310	8770
130	1324	8783
131	1336	8786
132	1342	8754
133	1350	8727
134	1358	8705
135	1365	8674
136	1372	8642
137	1379	8613
138	1385	8583
139	1392	8553
140	1399	8523
141	1405	8493
142	1412	8463
143	1418	8434
144	1425	8407
145	1432	8379
146	1439	8352
147	1446	8325
148	1452	8297
149	1459	8270
150	1466	8243
151	1473	8217
152	1479	8192
153	1486	8166
154	1495	8151
155	1504	8140
156	1518	8155
157	1528	8143
158	1534	8117
159	1541	8092
160	1548	8067
161	1554	8043
162	1561	8019
163	1568	7994
164	1575	7970
165	1582	7948
166	1588	7923
167	1595	7901
168	1602	7879
169	1608	7855
170	1615	7831
171	1622	7809
172	1629	7790
173	1636	7768
174	1643	7747
175	1650	7725
176	1656	7703
177	1663	7681
178	1670	7660
179	1676	7638
180	1683	7617
181	1690	7597
182	1696	7576
183	1703	7556
184	1710	7536
185	1717	7517
186	1724	7497
187	1731	7477
188	1737	7457
189	1744	7438
190	1751	7419
191	1758	7400
192	1765	7381
193	1772	7362
194	1778	7343
195	1785	7324
196	1792	7304
197	1798	7286
198	1805	7268
199	1814	7258
200	1828	7269
201	1843	7282
